run,loss,accuracy,precision,recall,f1,fps,inference_ms,best_val_f1,backbone,loss_fn,attention,use_robust_aug
rev_baseline_ce,0.35446151271608245,0.9305283757338552,0.8214285714285714,0.680921052631579,0.7446043165467626,1011.2190405928969,0.9889054298400879,0.6979362101313321,resnet18,ce,none,False
rev_cbam_only,0.3441741164416483,0.9275929549902152,0.8145161290322581,0.6644736842105263,0.7318840579710145,627.3638865621634,1.5939712524414062,0.7127272727272728,resnet18,ce,cbam,False
rev_wce,0.6583884692005448,0.9256360078277887,0.7878787878787878,0.6842105263157895,0.7323943661971831,979.8276198385528,1.020587682723999,0.7083333333333334,resnet18,wce,none,False
rev_robust_aug,0.23201545653044595,0.9315068493150684,0.8228346456692913,0.6875,0.7491039426523297,976.335701059017,1.024237871170044,0.6929982046678635,resnet18,ce,none,True
rev_focal_gamma_1,0.05570228378891712,0.9305283757338552,0.8188976377952756,0.6842105263157895,0.7455197132616488,829.4309989726796,1.2056457996368408,0.6976744186046512,resnet18,focal,cbam,True
rev_focal_gamma_2,0.027736800833953336,0.923679060665362,0.7624113475177305,0.7072368421052632,0.7337883959044369,837.5517066824553,1.1939561367034912,0.7056798623063684,resnet18,focal,cbam,True
rev_focal_gamma_3,0.01742203701323959,0.9295499021526419,0.7877697841726619,0.7203947368421053,0.7525773195876289,794.6285939465588,1.2584495544433594,0.7079037800687286,resnet18,focal,cbam,True
rev_focal_gamma_5,0.0037046743232443374,0.9305283757338552,0.7977941176470589,0.7138157894736842,0.7534722222222222,832.1404338561775,1.2017202377319336,0.7145299145299145,resnet18,focal,cbam,True
rev_focal_no_ra,0.07002006952127773,0.9227005870841487,0.7943548387096774,0.6480263157894737,0.7137681159420289,734.1054241803171,1.3622021675109863,0.7230215827338129,resnet18,focal,none,False
